,WorkOpenAlex_ID,PersonOpenAlex_ID,PersonName,PersonOrcid,Role,Team,IsCorrespondingAuthor
54,W4391594220,A5004300103,Toan Phung,0000-0002-2964-6070,Key Personnel,Alessi,Yes
55,W4391594220,A5047301907,Kerryn Berndsen,0000-0002-9353-7565,,,No
56,W4391594220,A5019233502,Tran Phan,0000-0002-6912-7806,,,No
57,W4391594220,A5084528692,Miratul Muqit,0000-0001-9733-2404,Co-PI,Alessi,No
58,W4391594220,A5054181982,Dario Alessi,0000-0002-2140-9185,Lead-PI,Alessi,Yes
59,W4391594220,A5005172607,Raja Nirujogi,0000-0002-3177-8566,Key Personnel,Alessi,Yes
60,W4296290327,A5045643276,Andrés Guillén-Samander,0000-0002-6882-3850,,,No
61,W4296290327,A5037459294,Pietro Camilli,0000-0001-9045-0723,Lead PI,De Camilli,No
62,W4283796233,A5067698958,Mytien Nguyen,0000-0001-7343-6882,,,No
63,W4283796233,A5022058492,Noah Palm,0000-0001-7262-9455,Co-PI,Hafler,No
64,W4224232095,A5025238358,John Bostick,0000-0001-8925-2447,,,Yes
65,W4224232095,A5084083600,Aubrey Schonhoff,,,Sulzer,Yes
66,W4224232095,A5053569958,Sarkis Mazmanian,0000-0003-2713-1513,Co-PI,Gradinaru,No
67,W4224232095,A5053569958,Sarkis Mazmanian,0000-0003-2713-1513,Co-PI,Sulzer,No
68,W4289028880,A5100433830,Lei Zhang,0000-0001-7409-6090,,,No
69,W4289028880,A5080814866,Louise Pitcher,,,,No
70,W4289028880,A5078174238,Matthew Yousefzadeh,0000-0003-2869-1029,,,No
71,W4289028880,A5043039694,Laura Niedernhofer,0000-0002-1074-1385,Co-PI,Lee,No
72,W4289028880,A5040467127,Paul Robbins,0000-0003-1068-7099,Key Personnel,Lee,Yes
73,W4289028880,A5107500736,Yi Zhu,0000-0002-3876-3156,,,Yes
74,W4281486640,A5048054072,Steven Dowdy,0000-0003-3083-2257,Co-PI,Mobley,Yes
75,W4281486640,A5057571496,Ryan Setten,0000-0002-0956-7084,,,No
76,W4281486640,A5017386190,Xian-Shu Cui,,,,No
77,W4281486640,A5009803059,Satish Jadhav,,,,No
78,W4281680618,A5017895020,Kyoo-a Lee,,,,No
79,W4281680618,A5050075073,Rafael Flores,0000-0002-5580-6381,,,No
80,W4281680618,A5062640954,In Jang,0009-0009-9448-8433,,,No
81,W4281680618,A5062679752,Ashley Saathoff,,,,No
82,W4281680618,A5040467127,Paul Robbins,0000-0003-1068-7099,Key Personnel,Lee,No
83,W3181271241,A5074555049,Marianna Leonzino,0000-0002-3277-1112,,,Yes
84,W3181271241,A5059224100,Karin Reinisch,0000-0001-9140-6150,Co-PI,De Camilli,Yes
85,W3181271241,A5037459294,Pietro Camilli,0000-0001-9045-0723,Lead PI,De Camilli,Yes
86,W4281977146,A5101957335,Anindita Bose,0000-0002-9172-6127,,,Yes
87,W4281977146,A5007934367,Gregory Petsko,0000-0003-3668-3694,,,No
88,W4281977146,A5065135570,Lorenz Studer,0000-0003-0741-7987,Lead PI,Studer,No
89,W4308293006,A5016441474,Rachel Wise,0000-0001-8432-2725,,,No
90,W4308293006,A5062185787,Annika Wagener,,,,No
91,W4308293006,A5052236648,Urban Fietzek,0000-0002-4323-9930,,,No
92,W4308293006,A5026565602,Thomas Klopstock,0000-0003-2805-4652,,,No
93,W4308293006,A5004169353,Eugene Mosharov,0000-0002-0229-7114,Key Personnel (PI),Sulzer,No
94,W4308293006,A5040986998,Fabio Zucca,0000-0003-1230-1129,,,No
95,W4308293006,A5026787858,David Sulzer,0000-0001-7632-0439,Lead PI,Sulzer,No
96,W4308293006,A5030347715,Luigi Zecca,0000-0002-7409-6653,,,No
97,W4308293006,A5061501546,Lena Burbulla,0000-0002-6548-905X,,,Yes
98,W4205765336,A5034915643,Patrick Skelton,0000-0002-6691-9904,,,No
99,W4205765336,A5007120603,Valerie Tokars,0000-0002-2619-3969,,,No
