,ZenodoOpenAlex_ID,PersonOpenAlex_ID,PersonName,PersonOrcid
257,W4393728825,A5038452125,Michele Vendruscolo,0000-0002-3616-1610
258,W4393459338,A5113158508,Savio Xenias,
259,W4393660207,A5054466750,Annan Cook,0000-0001-6415-9107
260,W4393847496,A5014185718,Aubrey Schonhoff,0000-0002-1801-1125
261,,,nan,
262,W3210252385,A5046721666,Manuela Tan,0000-0001-5835-669X
263,W3210252385,A5046047343,huw,
264,W4225270111,A5091287609,Pascale Baden,
265,W4225270111,A5100614696,Maria J.,0000-0001-8842-4286
266,W4225270111,A5021231719,Stefanie Kalb,
267,W4225270111,A5002880244,Hariam Raji,0000-0002-2705-8857
268,W4225270111,A5014496858,M. Illescas,0000-0003-0198-1106
269,W4225270111,A5082836367,Claudio Giuliano,0000-0003-1600-544X
270,W4225270111,A5078024953,Federico Bertoli,0000-0001-5600-1190
271,W4225270111,A5032912195,Marvin Oldrati,0000-0001-6205-3042
272,W4225270111,A5023721480,Alessandra Calogero,0000-0003-2262-4992
273,W4225270111,A5012729392,Graziella Cappelletti,0000-0003-0903-5392
274,W4225270111,A5004204996,Kathrin Brockmann,0000-0002-7515-8596
275,W4225270111,A5067744605,Thomas Gasser,0000-0002-1069-1146
276,W4225270111,A5059770430,Anthony Schapira,0000-0002-3018-3966
277,W4225270111,A5023707841,Cristina Ugalde,0000-0002-9742-1877
278,W4225270111,A5056933907,Michela Deleidi,0000-0003-0357-0124
279,,,nan,
280,W4393805477,A5072833710,Benjamin Hobson,0000-0002-2745-5318
281,,,nan,
282,W4393764228,A5046678361,Gregory Williams,0000-0001-9523-1781
283,W4393764228,A5052801583,Kaylin Muskat,
284,W4393764228,A5044515449,April Frazier,0000-0002-4722-7304
285,W4393764228,A5075915109,Yaqian Xu,0000-0001-5890-3446
286,W4393764228,A5063444034,José Mateus,0000-0002-1402-3452
287,W4393764228,A5083647614,Alba Grifoni,0000-0002-0369-1746
288,W4393764228,A5075614639,Ricardo Antunes,0000-0001-9785-5272
289,W4393764228,A5071431150,Daniela Weiskopf,0000-0003-2968-7371
290,W4393764228,A5067845430,Amy Amara,0000-0003-0762-9656
291,W4393764228,A5000374325,David Standaert,0000-0003-2921-8348
292,W4393764228,A5061596611,Jennifer Goldman,0000-0001-5014-7535
293,W4393764228,A5006709022,Irene Litvan,0000-0002-3485-3445
294,W4393764228,A5037098776,Roy Alcalay,0000-0002-5717-4875
295,W4393764228,A5026787858,David Sulzer,0000-0001-7632-0439
296,W4393764228,A5066674783,Cecilia Arlehamn,0000-0001-7302-8002
297,W4393764228,A5010966529,Alessandro Sette,0000-0001-7013-2250
298,W4393531408,A5012875579,Francesca Garretti,0000-0002-6609-8034
299,W4393531408,A5084707089,Connor Monahan,0000-0003-3245-6187
300,W4393531408,A5026787858,David Sulzer,0000-0001-7632-0439
301,W4393531408,A5085315691,Dritan Agalliu,0000-0002-5375-4143
302,W4393543659,A5012875579,Francesca Garretti,0000-0002-6609-8034
303,W4393543659,A5084707089,Connor Monahan,0000-0003-3245-6187
304,W4393543659,A5026787858,David Sulzer,0000-0001-7632-0439
305,W4393543659,A5085315691,Dritan Agalliu,0000-0002-5375-4143
306,W4393727289,A5026205750,Keith Summa,0000-0001-9541-8458
307,W4393727289,A5063198364,Xuanyi Lin,0000-0001-5486-1058
308,,,nan,
309,W4394054992,A5054466750,Annan Cook,0000-0001-6415-9107
310,W4393573076,A5050542211,Sherilyn Recinto,0000-0001-9632-1201
311,W4393573076,A5091470177,Shobina Premachandran,0009-0002-0672-1362
